1,0.86667,0.84783,0.99611,0.88636,12,-29571.779,84.497,12,39,4,7,5,1281,-1
2,0.84444,0.82609,0.99533,0.86364,14,-29366.924,65.599,10,38,6,8,6,1280,-1
3,0.84444,0.82609,0.99533,0.86364,14,-29485.072,79.697,9,38,5,8,6,1280,-1
4,0.86667,0.84783,0.99611,0.88636,12,-29986.895,94.922,12,39,5,7,5,1281,-1
5,0.73333,0.71739,0.99145,0.75,24,-30102.298,87.799,10,33,10,13,11,1275,-1
6,0.86667,0.84783,0.99611,0.88636,12,-29900.943,95.829,9,39,5,7,5,1281,-1
7,0.71111,0.69565,0.99067,0.72727,26,-29495.315,78.336,14,32,10,14,12,1274,-1
8,0.84444,0.82609,0.99533,0.86364,14,-29537.505,77.467,12,38,4,8,6,1280,-1
9,0.82222,0.80435,0.99456,0.84091,16,-29670.477,71.985,15,37,7,9,7,1279,-1
10,0.77778,0.76087,0.993,0.79545,20,-30022.191,87.893,15,35,8,11,9,1277,-1
Avg,0.81778,0.8,0.9944,0.83636,16.4,-29713.94,82.402 ,11.8,        NaN,,,,,
Std,0.05425,0.05307,0.0019,0.05548,4.883,250.827,9.660 ,2.182,        NaN,,,,,
